Conference,EEIDSession,RandomisationCode,PublicationFound,Journal,Year,DOI
ESA2017,YES,6.4,YES,Emerging Infectious Diseases,2018,10.3201/eid2402.171065
ESA2017,YES,2.2,YES,OIKOS,2018,10.1111/oik.05339
ESA2017,YES,9,NO,NA,NA,NA
ESA2017,YES,3.9,N/A,NA,NA,NA
ESA2017,YES,9.5,YES,Oecologia,2018,10.1007/s00442-018-4206-3
ESA2017,YES,6.8,NO,NA,NA,NA
ESA2017,YES,8.7,YES,Journal of the Royal Society Interface,2017,10.1098/rsif.2017.0115
ESA2017,YES,5.7,YES,PNAS,2017,10.1073/pnas.1617218114
ESA2017,YES,2.7,NO,NA,NA,NA
ESA2017,YES,8.5,NO,NA,NA,NA
ESA2017,YES,1.4,YES,Environmental Pollution,2018,10.1016/j.envpol.2018.01.060
ESA2017,YES,8.4,YES,PLoS ONE,2020,10.1371/journal.pone.0237545
ESA2017,YES,9.2,NO,NA,NA,NA
ESA2017,YES,4.2,YES,Scientific Reports,2018,10.1038/s41598-018-30709-x
ESA2017,YES,8.6,NO,NA,NA,NA
ESA2017,YES,4.8,NO,NA,NA,NA
ESA2017,YES,7,YES,The ISME Journal,2016,10.1038/ismej.2016.152
ESA2017,YES,9.1,YES,Parasites and Vectors,2017,10.1186/s13071-017-2482-0
ESA2017,YES,4.6,NO,NA,NA,NA
ESA2017,YES,8.9,YES,Ecosphere,2018,10.1002/ecs2.2294
ESA2017,YES,5.5,NO,NA,NA,NA
ESA2017,YES,5,NO,NA,NA,NA
ESA2017,YES,9.7,YES,Journal of Animal Ecology,2017,10.1111/1365-2656.12786
ESA2017,YES,1.6,NO,NA,NA,NA
ESA2017,YES,1.8,NO,NA,NA,NA
ESA2017,YES,5.3,YES,Royal Society Open Science,2017,10.1098/rsos.171308
ESA2017,YES,5.2,NO,NA,NA,NA
ESA2017,YES,7.3,NO,NA,NA,NA
ESA2017,YES,6.7,YES,Journal of Animal Ecology,2017,NA
ESA2017,YES,3.3,NO,NA,NA,NA
ESA2017,YES,4.9,YES,Functional Ecology,2019,10.1111/1365-2435.13419
ESA2017,YES,7.4,NO,NA,NA,NA
ESA2017,YES,7.5,YES,Philosophical Transactions of the Royal Society B,2019,10.1098/rstb.2018.0270
ESA2017,YES,3.1,YES,PLoS Neglected Tropical Diseases,2017,10.1371/journal.pntd.0005756
ESA2017,YES,4.4,NO,NA,NA,NA
ESA2017,YES,4.3,NO,NA,NA,NA
ESA2017,YES,9.8,NO,NA,NA,NA
ESA2017,YES,1.9,YES,Environmental Microbiology,2018,10.1111/1462-2920.14347
ESA2017,YES,7.8,YES,Eurosurveillance,2017,10.2807/1560-7917.ES.2017.22.15.30510
